Line Name,Measurement Type,Time,Value,Units
Strain 97,P02932,0.0,0.0,proteins/cell
Strain 97,P02931,0.0,0.0,proteins/cell
Strain 97,P77747,0.0,0.0,proteins/cell
Strain 97,P06996,0.0,0.0,proteins/cell
Strain 97,P68187,0.0,0.0,proteins/cell
Strain 97,P0AEX9,0.0,0.0,proteins/cell
Strain 97,P68183,0.0,0.0,proteins/cell
Strain 97,P02916,0.0,0.0,proteins/cell
Strain 97,P02943,0.0,0.0,proteins/cell
Strain 97,P08331,0.0,0.0,proteins/cell
Strain 97,P39196,0.0,0.0,proteins/cell
Strain 97,P31119,0.0,0.0,proteins/cell
Strain 97,P37666,0.0,0.0,proteins/cell
Strain 97,P0AEI6,0.0,0.0,proteins/cell
Strain 97,P46891,0.0,0.0,proteins/cell
Strain 97,P75895,0.0,0.0,proteins/cell
Strain 97,P0A6Q6,0.0,1.269267010624609e-06,proteins/cell
Strain 97,P0A6Q3,0.0,0.0,proteins/cell
Strain 97,P0AF12,0.0,0.0,proteins/cell
Strain 97,P17115,0.0,0.023913357927286966,proteins/cell
Strain 97,P45395,0.0,0.02530133509923334,proteins/cell
Strain 97,P0A6A8,0.0,0.027088266246235324,proteins/cell
Strain 97,P56258,0.0,0.0,proteins/cell
Strain 97,P26612,0.0,0.0,proteins/cell
Strain 97,P25718,0.0,0.0,proteins/cell
Strain 97,Q46829,0.0,0.0,proteins/cell
Strain 97,P22256,0.0,0.0,proteins/cell
Strain 97,P50457,0.0,0.0,proteins/cell
Strain 97,P77674,0.0,0.0,proteins/cell
Strain 97,P77397,0.0,0.0,proteins/cell
Strain 97,P25527,0.0,0.0,proteins/cell
Strain 97,P76458,0.0,0.0,proteins/cell
Strain 97,P76459,0.0,0.0,proteins/cell
Strain 97,P76503,0.0,0.0,proteins/cell
Strain 97,P76461,0.0,0.2540883200582299,proteins/cell
Strain 97,P21151,0.0,0.0,proteins/cell
Strain 97,P37677,0.0,0.0,proteins/cell
Strain 97,P0AEK2,0.0,1.3906919827422116e-06,proteins/cell
Strain 97,P76460,0.0,0.0,proteins/cell
Strain 97,P77580,0.0,1.0195822237155265,proteins/cell
Strain 97,P0A9Q7,0.0,0.0,proteins/cell
Strain 97,P77567,0.0,0.0,proteins/cell
Strain 97,P0AE76,0.0,0.0,proteins/cell
Strain 97,P24182,0.0,0.053237820065153554,proteins/cell
Strain 97,P0A9Q5,0.0,0.055854301382470856,proteins/cell
Strain 97,P0ABD8,0.0,0.05557282251197652,proteins/cell
Strain 97,P0ABD5,0.0,0.05020863055837238,proteins/cell
Strain 97,P27550,0.0,0.0,proteins/cell
Strain 97,P0AAI5,0.0,0.0,proteins/cell
Strain 97,P0A953,0.0,1.3290869833225404e-06,proteins/cell
Strain 97,P75959,0.0,0.0,proteins/cell
Strain 97,P0AC78,0.0,0.0,proteins/cell
Strain 97,P08839,0.0,0.0,proteins/cell
Strain 97,P0AA04,0.0,0.0,proteins/cell
Strain 97,P69786,0.0,12.239275008778877,proteins/cell
Strain 97,P69783,0.0,0.0,proteins/cell
Strain 97,P09323,0.0,0.0,proteins/cell
